filename,species_label,species_name
1.jpg,27,Клен
10.jpg,30,Осина
11.jpg,27,Клен
2.jpg,36,Лиственница
3.jpg,40,Туя
4.jpg,34,Рябина
5.jpg,25,Сосна
6.jpg,38,Можжевельник
7.jpg,8,Береза
8.jpg,33,Каштан
9.jpg,32,Ива
12.jpg,11,Вяз
13.jpg,28,Ясень
1_1.jpg,13,Роза/морщинистая
1_2.jpg,13,Роза/морщинистая
1_3.jpg,13,Роза/морщинистая
1_4.jpg,13,Роза/морщинистая
1_5.jpg,13,Роза/морщинистая
1_6.jpg,13,Роза/морщинистая
1_7.jpg,13,Роза/морщинистая
1_8.jpg,13,Роза/морщинистая
1_9.jpg,13,Роза/морщинистая
1_10.jpg,13,Роза/морщинистая
2_1.jpg,14,Роза/собачья(шиповник)
2_2.jpg,14,Роза/собачья(шиповник)
2_3.jpg,14,Роза/собачья(шиповник)
2_4.jpg,14,Роза/собачья(шиповник)
2_5.jpg,14,Роза/собачья(шиповник)
2_6.jpg,14,Роза/собачья(шиповник)
2_7.jpg,14,Роза/собачья(шиповник)
2_8.jpg,14,Роза/собачья(шиповник)
2_9.jpg,14,Роза/собачья(шиповник)
2_10.jpg,14,Роза/собачья(шиповник)
3_1.jpg,15,Боярышник
3_2.jpg,15,Боярышник
3_3.jpg,15,Боярышник
3_4.jpg,15,Боярышник
3_5.jpg,15,Боярышник
3_6.jpg,15,Боярышник
3_7.jpg,15,Боярышник
3_8.jpg,15,Боярышник
3_9.jpg,15,Боярышник
3_10.jpg,15,Боярышник
4_1.jpg,16,Лещина
4_2.jpg,16,Лещина
4_3.jpg,16,Лещина
4_4.jpg,16,Лещина
4_5.jpg,16,Лещина
4_6.jpg,16,Лещина
4_7.jpg,16,Лещина
4_8.jpg,16,Лещина
4_9.jpg,16,Лещина
4_10.jpg,16,Лещина
5_1.jpg,17,Дерен/белый
5_2.jpg,17,Дерен/белый
5_3.jpg,17,Дерен/белый
5_4.jpg,17,Дерен/белый
5_5.jpg,17,Дерен/белый
5_6.jpg,17,Дерен/белый
5_7.jpg,17,Дерен/белый
5_8.jpg,17,Дерен/белый
5_9.jpg,17,Дерен/белый
5_10.jpg,17,Дерен/белый
6_1.jpg,18,Кизильник
6_2.jpg,18,Кизильник
6_3.jpg,18,Кизильник
6_4.jpg,18,Кизильник
6_5.jpg,18,Кизильник
6_6.jpg,18,Кизильник
6_7.jpg,18,Кизильник
6_8.jpg,18,Кизильник
6_9.jpg,18,Кизильник
6_10.jpg,18,Кизильник
7_1.jpg,19,Спирея
7_2.jpg,19,Спирея
7_3.jpg,19,Спирея
7_4.jpg,19,Спирея
7_5.jpg,19,Спирея
7_6.jpg,19,Спирея
7_7.jpg,19,Спирея
7_8.jpg,19,Спирея
7_9.jpg,19,Спирея
7_10.jpg,19,Спирея
7_11.jpg,19,Спирея
7_12.jpg,19,Спирея
7_13.jpg,19,Спирея
7_14.jpg,19,Спирея
7_15.jpg,19,Спирея
